Task_ID,Task_Name,Process_Area,Governing_SOP_ID
T-094,performs preventive maintenance,Equipment,SOP-049
T-095,authors equipment qualification protocol,Equipment,SOP-050
T-096,gowns for cleanroom entry,Cleanroom/Environmental,SOP-051
T-097,qualifies for cleanroom gowning,Cleanroom/Environmental,SOP-051
T-098,performs environmental monitoring sampling,Cleanroom/Environmental,SOP-052
T-099,reviews EM trend data,Cleanroom/Environmental,SOP-052
T-100,coordinates cleanroom certification,Cleanroom/Environmental,SOP-053
T-101,reviews certification report,Cleanroom/Environmental,SOP-053
T-102,performs facility system maintenance,Cleanroom/Environmental,SOP-054
T-103,authors sterilization validation protocol,Sterilization,SOP-055
T-104,reviews sterilization validation report,Sterilization,SOP-055
T-105,reviews sterilization cycle record,Sterilization,SOP-056
T-106,approves parametric release,Sterilization,SOP-056
T-107,reviews bioburden test result,Sterilization,SOP-057
T-108,reviews sterility test result,Sterilization,SOP-057
T-109,authors package validation protocol,Packaging,SOP-058
T-110,executes package integrity test,Packaging,SOP-058
T-111,authors label content,Packaging,SOP-059
T-112,approves label artwork,Packaging,SOP-059
T-113,assigns UDI,Packaging,SOP-060
T-114,submits GUDID record,Packaging,SOP-060
T-115,performs label print verification,Packaging,SOP-061
T-116,compiles DHR,Records,SOP-062
T-117,reviews DHR for completeness,Records,SOP-062
T-118,maintains DMR index,Records,SOP-063
T-119,archives quality record,Records,SOP-064
T-120,retrieves archived record,Records,SOP-064
T-121,records lot traceability data,Traceability,SOP-065
T-122,maintains traceability matrix,Traceability,SOP-066
T-123,authors promotional material,Marketing/Regulatory,SOP-067
T-124,approves promotional material for claims compliance,Marketing/Regulatory,SOP-067
T-125,communicates with clinicians on product use,Marketing/Regulatory,SOP-068
T-126,authors 510(k) submission,Regulatory,SOP-069
T-127,approves 510(k) submission,Regulatory,SOP-069
T-128,performs regulatory change assessment,Regulatory,SOP-070
T-129,prepares post-market regulatory report,Regulatory,SOP-071
T-130,maintains establishment registration,Regulatory,SOP-072
T-131,authors biocompatibility test plan,Biocompatibility,SOP-073
T-132,reviews biocompatibility test report,Biocompatibility,SOP-073
T-133,authors material specification,Biocompatibility,SOP-074
T-134,approves material characterization data,Biocompatibility,SOP-074
T-135,reviews supplier change notification,Biocompatibility,SOP-075
T-136,assesses material change impact,Biocompatibility,SOP-075
T-137,authors clinical evaluation report,Clinical,SOP-076
T-138,conducts PMCF activity,Clinical,SOP-077
T-139,maintains lab notebook entries,Early R&D,SOP-078
T-140,submits invention disclosure,Early R&D,SOP-079
T-141,screens early-stage project,Early R&D,SOP-079
T-142,performs feasibility risk screening,Early R&D,SOP-080
T-143,works in R&D lab space,Early R&D,SOP-081
T-144,completes general EHS training,EHS,SOP-082
T-145,handles hazardous chemical/material,EHS,SOP-083
T-146,signs electronic record in QMS,IT/Data Integrity,SOP-084
T-147,authors software validation protocol (QMS tools),IT/Data Integrity,SOP-085
T-148,performs tip bond rework,Rework/Nonconformance-Specific,SOP-086
T-149,approves tip bond rework disposition,Rework/Nonconformance-Specific,SOP-086
T-150,performs extrusion lot sort/rework,Rework/Nonconformance-Specific,SOP-087
T-151,initiates material transfer request,Material/Build Flow,SOP-088
T-152,approves material transfer,Material/Build Flow,SOP-088
T-153,initiates engineering build,Material/Build Flow,SOP-089
T-154,authors build traveler,Material/Build Flow,SOP-089
T-155,executes tip pull test,Bench Test Protocols,SOP-090
T-156,executes kink resistance test,Bench Test Protocols,SOP-091
T-157,executes coating adhesion test,Bench Test Protocols,SOP-092
T-158,executes corrosion resistance test,Bench Test Protocols,SOP-093
T-159,executes simulated use test,Bench Test Protocols,SOP-094
T-160,executes accelerated aging study,Bench Test Protocols,SOP-095
T-161,executes real-time aging study,Bench Test Protocols,SOP-096
T-162,monitors real-time aging samples,Bench Test Protocols,SOP-096
T-163,authors Gage R&R study,Bench Test Protocols,SOP-097
T-164,approves test method validation,Bench Test Protocols,SOP-097
T-165,operates tip-forming machine,Machine-Specific Work Instructions,SOP-098
T-166,operates hub bonding welder,Machine-Specific Work Instructions,SOP-099
T-167,operates leak test station,Machine-Specific Work Instructions,SOP-100
T-168,operates coating dip-line,Machine-Specific Work Instructions,SOP-101
T-169,operates pad printer,Machine-Specific Work Instructions,SOP-102
T-170,generates label file from software template,Labeling-Specific,SOP-103
T-171,operates label verification station,Labeling-Specific,SOP-104
T-172,calibrates test fixture,Bench Test Protocols,SOP-105
T-173,verifies test fixture,Bench Test Protocols,SOP-105
T-174,logs returned complaint sample,Rework/Nonconformance-Specific,SOP-106
T-175,handles RMA sample,Rework/Nonconformance-Specific,SOP-106
T-176,prepares coating solution,Machine-Specific Work Instructions,SOP-107
T-177,initiates ECO,Material/Build Flow,SOP-108
T-178,routes ECO for approval,Material/Build Flow,SOP-108
T-179,decontaminates returned device sample,Rework/Nonconformance-Specific,SOP-109
T-180,performs cleanroom cleaning/sanitization,Cleanroom/Environmental,SOP-110
T-181,disposes of hazardous material/waste,EHS,SOP-111
T-182,stores hazardous material,EHS,SOP-112
T-183,stores temperature/shelf-life-sensitive material,EHS,SOP-113
T-184,authors eu technical documentation,Regulatory,SOP-114
T-185,maintains ce technical file,Regulatory,SOP-114
