SOP_ID,Title,Process_Area,Summary,Broad_Applicability_Conservative,Key_Tasks_Governed
SOP-020,Nonconforming Product Control,Nonconforming Product,"Defines process for identifying, segregating, and documenting nonconforming product.","All Manufacturing Personnel, Quality","identifies nonconforming product; tags nonconforming product"
SOP-021,Material Review Board Process,Nonconforming Product,"Establishes MRB composition, authority, and decision documentation.","Quality, Engineering, Manufacturing (MRB members)","serves on MRB; issues MRB disposition"
SOP-022,Disposition of Nonconforming Material,Nonconforming Product,"Defines allowable dispositions (scrap, rework, use-as-is) and approval requirements.","Quality, Engineering, Manufacturing","approves use-as-is disposition; approves rework disposition"
SOP-023,Internal Audit Program,Internal Audit,"Defines internal audit schedule, scope, auditor qualification, and reporting.","Quality, Internal Auditors","conducts internal audit; schedules internal audit"
SOP-024,Audit Finding Closure and Escalation,Internal Audit,"Governs response, CAPA linkage, and closure of internal and external audit findings.","Quality, Department Managers","responds to audit finding; approves finding closure"
SOP-025,Management Review Process,Management Review,"Defines inputs, frequency, and required attendees for management review meetings.","Executive Team, Quality, Department Managers","presents management review input; attends management review"
SOP-026,Supplier Qualification and Approval,Supplier Controls,"Defines process for qualifying and approving new suppliers.","Quality, Purchasing, Engineering","conducts supplier audit; approves new supplier"
SOP-027,Approved Supplier List Maintenance,Supplier Controls,"Governs maintenance and periodic review of the approved supplier list.","Quality, Purchasing","maintains approved supplier list"
SOP-028,Purchasing Controls,Supplier Controls,"Defines requirements for purchase order content and supplier requirement flow-down.","Purchasing, Manufacturing","issues purchase order; verifies PO quality requirements"
SOP-029,Incoming Inspection,Supplier Controls,"Defines inspection requirements and acceptance criteria for incoming components and materials.","Quality, Manufacturing (incoming inspectors)","performs incoming inspection; releases incoming lot"
SOP-030,Supplier Corrective Action Request,Supplier Controls,"Governs issuance and tracking of SCARs to suppliers.","Quality, Purchasing, Engineering","issues SCAR; reviews supplier CAPA response"
SOP-031,Contract Manufacturer Oversight and Quality Agreements,Supplier Controls,"Defines quality agreement requirements and periodic oversight of contract manufacturers and sterilizer.","Quality, Purchasing, Manufacturing, Regulatory","maintains quality agreement; conducts CM oversight audit"
SOP-032,Training Program and Matrix Management,Training,"Defines how training matrices are created, assigned, and maintained.","All Employees, People Managers","assigns training matrix; approves training matrix change"
SOP-033,Training Records Control,Training,"Governs documentation and retention of individual training records.","All Employees, HR, Quality","completes assigned training; documents training completion"
SOP-034,New Employee Onboarding Training,Training,"Defines required onboarding training curriculum for all new hires.","All Employees, HR","completes onboarding training; delivers onboarding training"
SOP-035,Complaint Handling,Complaints/PMS,"Defines process for receiving, logging, and routing customer complaints.","All Employees, Customer-Facing Roles, Quality","receives customer complaint; logs complaint intake"
SOP-036,MDR Reportability Decision-Making,Complaints/PMS,"Defines criteria and authority for determining MDR reportability of complaints.","Quality, Regulatory","makes MDR reportability determination; submits MDR report"
SOP-037,Complaint Investigation,Complaints/PMS,"Governs technical investigation of complaint samples and root cause determination.","Quality, Engineering","investigates complaint sample; authors complaint investigation report"
SOP-038,Post-Market Surveillance,Complaints/PMS,"Defines ongoing collection and trending of post-market safety and performance data.","Quality, Regulatory, Clinical","trends post-market data; authors PMS report"
SOP-039,Field Action and Recall Procedure,Complaints/PMS,"Defines process for evaluating, initiating, and executing field corrections or recalls.","Quality, Regulatory, Executive Team","initiates field action evaluation; approves field action"
SOP-040,Production Planning and Scheduling,Production,"Defines process for production planning based on demand and capacity.","Manufacturing, Planning/Buyers","creates production schedule; releases work order"
SOP-041,Work Instruction Control,Production,"Governs authoring, approval, and revision of manufacturing work instructions.","Manufacturing, Engineering, Quality","authors work instruction; approves work instruction"
SOP-042,Process Validation (IQ/OQ/PQ),Production,"Defines requirements for qualifying manufacturing processes and equipment.","Engineering, Manufacturing, Quality","authors validation protocol (process); executes IQ/OQ/PQ"
SOP-043,In-Process Inspection,Production,"Defines in-process inspection points and acceptance criteria during assembly.","Manufacturing (assembly, inspectors)","performs in-process inspection"
SOP-044,Final Inspection and Lot Release,Production,"Governs final inspection, DHR review, and lot release to finished goods.","Manufacturing, Quality","performs final inspection; releases finished lot"
SOP-045,Assembly Workmanship Standards,Production,"Defines visual and dimensional workmanship criteria for manual assembly operations.","Manufacturing (assembly technicians)","performs manual assembly per workmanship standard"
SOP-046,Line Clearance Procedure,Production,"Defines requirements for clearing a production line between product changeovers.","Manufacturing (assembly, supervisors)","performs line clearance; verifies line clearance"
SOP-047,Rework and Repair Control,Production,"Governs documentation and approval requirements for reworking nonconforming product.","Manufacturing, Quality, Engineering","performs rework; approves rework procedure"
SOP-048,Equipment Calibration Program,Equipment,"Defines calibration frequency, tolerances, and out-of-tolerance investigation.","Manufacturing, Facilities, Quality","calibrates equipment; investigates out-of-tolerance condition"
SOP-049,Preventive Maintenance,Equipment,"Governs scheduled preventive maintenance of production and test equipment.","Manufacturing, Facilities","performs preventive maintenance"
SOP-050,Equipment Qualification,Equipment,"Defines requirements for qualifying new or modified production/test equipment.","Engineering, Manufacturing, Quality","authors equipment qualification protocol"
SOP-051,Cleanroom Gowning Procedure,Cleanroom/Environmental,"Defines gowning requirements and qualification for cleanroom entry.","Manufacturing (cleanroom personnel)","gowns for cleanroom entry; qualifies for cleanroom gowning"
SOP-052,Environmental Monitoring Program,Cleanroom/Environmental,"Defines viable and non-viable particulate monitoring requirements for the cleanroom.","Manufacturing, Quality (EM personnel)","performs environmental monitoring sampling; reviews EM trend data"
SOP-053,Cleanroom Certification and Classification,Cleanroom/Environmental,"Governs periodic certification of cleanroom classification.","Facilities, Quality","coordinates cleanroom certification; reviews certification report"
SOP-054,Facility Maintenance Control,Cleanroom/Environmental,"Defines maintenance requirements for HVAC and facility systems supporting the cleanroom.","Facilities","performs facility system maintenance"
SOP-055,EtO Sterilization Validation,Sterilization,"Governs validation of the ethylene oxide sterilization process performed by the contract sterilizer.","Engineering, Quality","authors sterilization validation protocol; reviews sterilization validation report"
SOP-056,Sterilization Process Control and Parametric Release,Sterilization,"Defines routine process control and parametric release criteria for sterilized lots.","Quality, Manufacturing","reviews sterilization cycle record; approves parametric release"
SOP-057,Bioburden and Sterility Testing,Sterilization,"Defines bioburden and sterility test requirements and acceptance criteria.","Quality, Engineering","reviews bioburden test result; reviews sterility test result"
SOP-058,Package Validation,Packaging,"Governs validation of sterile barrier packaging including seal strength and shelf-life testing.","Engineering, Quality","authors package validation protocol; executes package integrity test"
SOP-059,Labeling Control,Packaging,"Defines process for creating, approving, and controlling product labeling.","Regulatory, Quality, Marketing","authors label content; approves label artwork"
SOP-060,UDI Assignment and Maintenance,Packaging,"Defines process for UDI assignment and GUDID submission.","Regulatory","assigns UDI; submits GUDID record"
SOP-061,Label Print Verification,Packaging,"Defines in-process verification requirements to confirm correct label application.","Manufacturing (packaging line)","performs label print verification"
SOP-062,Device History Record (DHR) Control,Records,"Defines DHR content requirements and review process for each production lot.","Manufacturing, Quality","compiles DHR; reviews DHR for completeness"
SOP-063,Device Master Record (DMR) Control,Records,"Defines DMR content and change control linkage to design and process documents.","Engineering, Quality","maintains DMR index"
SOP-064,Quality Records Retention,Records,"Defines retention periods and storage requirements for quality records.","Quality, Document Control","archives quality record; retrieves archived record"
SOP-065,Component and Lot Traceability,Traceability,"Defines requirements for maintaining component-to-finished-device traceability.","Manufacturing, Quality","records lot traceability data"
SOP-066,Traceability Matrix Maintenance,Traceability,"Governs maintenance of the design-input-to-verification traceability matrix.","Engineering, Regulatory","maintains traceability matrix"
SOP-067,Advertising and Promotional Material Review,Marketing/Regulatory,"Defines review and approval process for promotional and advertising material.","Marketing, Sales, Regulatory","authors promotional material; approves promotional material for claims compliance"
SOP-068,Medical Science Liaison and Off-Label Communication Guidelines,Marketing/Regulatory,"Defines boundaries for field-based scientific and off-label discussions with clinicians.","Marketing, Sales, Clinical Specialists, Regulatory","communicates with clinicians on product use"
SOP-069,510(k) Submission Process,Regulatory,"Governs preparation, review, and submission of 510(k) applications.","Regulatory, Engineering","authors 510(k) submission; approves 510(k) submission"
SOP-070,Regulatory Change Assessment,Regulatory,"Defines process for assessing whether a design or process change requires new regulatory submission.","Regulatory, Engineering, Quality","performs regulatory change assessment"
SOP-071,Post-Market Regulatory Reporting,Regulatory,"Defines routine regulatory reporting obligations beyond MDR (e.g., annual reports).","Regulatory","prepares post-market regulatory report"
SOP-072,Annual Report and Registration Maintenance,Regulatory,"Governs annual FDA establishment registration and device listing maintenance.","Regulatory","maintains establishment registration"
SOP-073,Biocompatibility Testing and Evaluation,Biocompatibility,"Defines requirements for biocompatibility test planning per ISO 10993.","Engineering, R&D, Regulatory","authors biocompatibility test plan; reviews biocompatibility test report"
SOP-074,Material Characterization and Specification,Biocompatibility,"Governs characterization and specification control of raw materials, including new coatings.","Engineering, R&D","authors material specification; approves material characterization data"
SOP-075,Supplier Material Change Notification Review,Biocompatibility,"Defines process for evaluating supplier-notified material or process changes.","Engineering, Quality, Regulatory","reviews supplier change notification; assesses material change impact"
SOP-076,Clinical Evaluation Report Process,Clinical,"Governs preparation and maintenance of the clinical evaluation report.","Clinical, Regulatory, Engineering","authors clinical evaluation report"
SOP-077,Post-Market Clinical Follow-Up,Clinical,"Defines requirements for ongoing post-market clinical data collection where applicable.","Clinical, Regulatory","conducts PMCF activity"
SOP-078,Laboratory Notebook Practice,Early R&D,"Defines documentation standards for early-stage lab notebooks prior to formal design control.","R&D, Engineering","maintains lab notebook entries"
SOP-079,Invention Disclosure and Early-Stage Project Screening,Early R&D,"Defines process for disclosing new concepts and screening them for formal project initiation.","R&D, Engineering, Regulatory","submits invention disclosure; screens early-stage project"
SOP-080,Feasibility-Stage Risk and Safety Screening,Early R&D,"Defines lightweight risk/safety screening applied to feasibility-stage concepts before design control entry.","R&D, Engineering","performs feasibility risk screening"
SOP-081,General Laboratory Safety,Early R&D,"Defines general safety practices for R&D lab spaces.","R&D, Engineering, Facilities","works in R&D lab space"
SOP-082,Environmental Health and Safety Program,EHS,"Defines general EHS program requirements across facility operations.","All Employees","completes general EHS training"
SOP-083,Chemical Hygiene and Hazardous Material Handling,EHS,"Defines requirements for handling, storing, and disposing of hazardous chemicals and materials.","R&D, Manufacturing, Facilities","handles hazardous chemical/material"
SOP-084,Electronic Records and Signatures (21 CFR Part 11),IT/Data Integrity,"Defines controls for electronic records and signatures used in the quality system.","All Employees Using QMS Software","signs electronic record in QMS"
SOP-085,Quality System Software Validation,IT/Data Integrity,"Governs validation of software used within the quality system (eQMS, LMS, etc.).","IT, Quality, Engineering","authors software validation protocol (QMS tools)"
SOP-086,Rework Instruction: Catheter Tip Bond Reprocess,Rework/Nonconformance-Specific,"Defines approved rework steps for reprocessing tip bonds failing pull-test, tied to a prior complaint-trend CAPA.","All Manufacturing Personnel, Quality","performs tip bond rework; approves tip bond rework disposition"
SOP-087,Rework Instruction: Extrusion Dimensional Nonconformance Correction,Rework/Nonconformance-Specific,"Defines approved rework/sort steps for incoming extrusion lots with dimensional nonconformances, tied to a prior SCAR.","All Manufacturing Personnel, Quality","performs extrusion lot sort/rework"
SOP-088,Internal Material Transfer Request Procedure,Material/Build Flow,"Governs documentation and approval for moving components or material between production stock, engineering, and the contract manufacturer.","All Manufacturing, Engineering, Quality","initiates material transfer request; approves material transfer"
SOP-089,Engineering Build Initiation and Traveler Procedure,Material/Build Flow,"Defines process for initiating a controlled engineering build (non-commercial) including build traveler documentation.","All Engineering","initiates engineering build; authors build traveler"
SOP-090,Bench Test Protocol: Catheter Tensile (Tip Pull) Strength,Bench Test Protocols,"Defines test method and acceptance criteria for tip bond tensile/pull strength testing.","All Engineering","executes tip pull test"
SOP-091,Bench Test Protocol: Kink Radius and Kink Resistance,Bench Test Protocols,"Defines test method and acceptance criteria for catheter kink radius testing.","All Engineering","executes kink resistance test"
SOP-092,Bench Test Protocol: Coating Adhesion and Lubricity,Bench Test Protocols,"Defines test method for evaluating Gen 2 coating adhesion and lubricity performance.","All Engineering","executes coating adhesion test"
SOP-093,Bench Test Protocol: Corrosion Resistance,Bench Test Protocols,"Defines test method for corrosion resistance testing of metal device components.","All Engineering","executes corrosion resistance test"
SOP-094,Bench Test Protocol: Simulated Use and Insertion Force Testing,Bench Test Protocols,"Defines test method for simulated use and insertion force testing of the catheter.","All Engineering, Clinical","executes simulated use test"
SOP-095,Bench Test Protocol: Accelerated Aging (Shelf-Life Simulation),Bench Test Protocols,"Defines test method for accelerated aging studies supporting shelf-life claims.","All Engineering","executes accelerated aging study"
SOP-096,Bench Test Protocol: Real-Time Aging Study,Bench Test Protocols,"Defines test method and monitoring schedule for real-time aging studies.","All Engineering","executes real-time aging study; monitors real-time aging samples"
SOP-097,Test Method Validation (Gage R&R) for Bench Test Equipment,Bench Test Protocols,"Governs validation of measurement systems and test fixtures used for bench testing.","All Engineering, Quality","authors Gage R&R study; approves test method validation"
SOP-098,Work Instruction: Tip-Forming Machine Operation,Machine-Specific Work Instructions,"Defines setup and operation steps for the tip-forming station.","All Manufacturing Personnel","operates tip-forming machine"
SOP-099,Work Instruction: RF/Heat Welder Operation (Hub Bonding),Machine-Specific Work Instructions,"Defines setup and operation steps for the hub bonding welder.","All Manufacturing Personnel","operates hub bonding welder"
SOP-100,Work Instruction: Leak Test Station Operation,Machine-Specific Work Instructions,"Defines operation and pass/fail criteria for the automated leak test station.","All Manufacturing Personnel","operates leak test station"
SOP-101,Work Instruction: Coating Dip-Line Operation (Gen 2 Antimicrobial Coating),Machine-Specific Work Instructions,"Defines setup and operation steps for the coating dip-line used on the Gen 2 device.","All Manufacturing Personnel, Engineering","operates coating dip-line"
SOP-102,Work Instruction: Pad Printer Operation (Catheter Marking),Machine-Specific Work Instructions,"Defines setup and operation steps for pad printing device markings.","All Manufacturing Personnel","operates pad printer"
SOP-103,Label Generation Software Work Instruction,Labeling-Specific,"Defines steps for generating approved labels using the label design/print software templates.","Manufacturing, Regulatory, Quality","generates label file from software template"
SOP-104,Label Verification Station Operation,Labeling-Specific,"Defines operation of the automated vision-based label verification station.","All Manufacturing Personnel","operates label verification station"
SOP-105,Test Fixture Calibration and Verification,Bench Test Protocols,"Defines calibration and verification requirements specific to custom bench test fixtures (distinct from general equipment calibration).","Engineering, Quality","calibrates test fixture; verifies test fixture"
SOP-106,Complaint Sample Return and RMA Handling Procedure,Rework/Nonconformance-Specific,"Defines process for receiving, logging, and handling returned complaint samples for investigation.","Quality, Customer Service","logs returned complaint sample; handles RMA sample"
SOP-107,Reagent and Chemical Mixing Instruction (Coating Solution Preparation),Machine-Specific Work Instructions,"Defines preparation steps and controls for mixing the Gen 2 coating solution.","Manufacturing, R&D","prepares coating solution"
SOP-108,Engineering Change Order (ECO) Routing Procedure,Material/Build Flow,"Defines the administrative routing and approval workflow for Engineering Change Orders, distinct from the design change evaluation policy itself.","All Engineering, Quality, Regulatory, Manufacturing","initiates ECO; routes ECO for approval"
SOP-109,Device Decontamination Procedure for Returned/Complaint Samples,Rework/Nonconformance-Specific,"Defines required decontamination steps for patient-contact devices returned for complaint investigation, prior to handling by investigation personnel.","Quality, Engineering","decontaminates returned device sample"
SOP-110,Cleanroom Cleaning and Sanitization Procedure,Cleanroom/Environmental,"Defines routine cleaning and sanitization steps and frequency for cleanroom surfaces and equipment, distinct from personnel gowning requirements.","Manufacturing (cleanroom personnel), Facilities","performs cleanroom cleaning/sanitization"
SOP-111,Hazardous Material Disposal Procedure,EHS,"Defines approved disposal methods and documentation for hazardous chemical and biological waste.","R&D, Manufacturing, Facilities","disposes of hazardous material/waste"
SOP-112,Hazardous Material Storage Procedure,EHS,"Defines storage requirements (segregation, labeling, secondary containment) for hazardous materials.","R&D, Manufacturing, Facilities","stores hazardous material"
SOP-113,Controlled Material Storage Procedure,EHS,"Defines storage requirements (temperature, humidity, shelf-life tracking) for non-hazardous but sensitive raw materials and components, e.g. adhesives and coating chemicals.","Manufacturing, R&D, Quality","stores temperature/shelf-life-sensitive material"
SOP-114,EU Technical Documentation and CE Marking Procedure (MDR),Regulatory,"Governs preparation and maintenance of EU MDR technical documentation and CE marking conformity assessment records.","Regulatory, Engineering","authors EU technical documentation; maintains CE technical file"
